"category","target_path","source_path","extension","bytes","sha256"
"animations/enemies","assets/animations/enemies/emo.png","game2/resource/assets/movie/emo.png","png","36423","4c7f0d0e82435d55d00200888dde0a5e1d0d4ae7da6b604d6c4025877f425980"
"animations/enemies","assets/animations/enemies/eyu.json","game2/resource/assets/movie/eyu.json","json","722","f92a1909588f0956e5ddbbd1ade52804add65734c2da0c5dd168b0f03525aaf2"
"animations/enemies","assets/animations/enemies/eyu.png","game2/resource/assets/movie/eyu.png","png","25980","97760babf1c97ae44a03446d314b5129b36f6953b2127deb85aef1e77e9c7375"
"animations/enemies","assets/animations/enemies/eyubaobao.json","game2/resource/assets/movie/eyubaobao.json","json","460","06b031f6d47f7b676ae2fc2a0c6f01d41e3be156f9bdd03937815ba84e3b4286"
"animations/enemies","assets/animations/enemies/eyubaobao.png","game2/resource/assets/movie/eyubaobao.png","png","3519","21ff7aa747e3e44a4094d4742e2173172cbad5b1fa8c07424f04df75ea15ee6c"
"animations/enemies","assets/animations/enemies/feilong.json","game2/resource/assets/movie/feilong.json","json","1182","d9895efdcc2449fd154c8af7625809d67837d640f012a425b2e5dba84f25d9b8"
"animations/enemies","assets/animations/enemies/feilong.png","game2/resource/assets/movie/feilong.png","png","22291","970bb6b39fd24e88fc0d4dc05ac93c4dbde5e6fa9118ca0366a8353c5225e695"
"animations/enemies","assets/animations/enemies/feiniao.json","game2/resource/assets/movie/feiniao.json","json","506","48834b441b23d1107606c70fb8ff9afd3825fe6d395749e486d187e2f0ddd245"
"animations/enemies","assets/animations/enemies/feiniao.png","game2/resource/assets/movie/feiniao.png","png","3871","2e7cf724aea3b1e014c563796f76b68173c50989f6e8946a16280c5f16614eaf"
"animations/enemies","assets/animations/enemies/hama.json","game2/resource/assets/movie/hama.json","json","1179","090be3e45debe0279aeb55da3bf3f210930c9fba9b79db48f536df8c92a117d1"
"animations/enemies","assets/animations/enemies/hama.png","game2/resource/assets/movie/hama.png","png","12038","8738f2156ab40e801f0aa2cee7c39a1fdf4ea0e391b9d85fd613aeb5afe31aa7"
"animations/enemies","assets/animations/enemies/kaijiazhu.json","game2/resource/assets/movie/kaijiazhu.json","json","404","f5249de5c625f7e67c2e83c2c4dfbec49b8d0f35e6bcf85c1b7f4999ad64222f"
"animations/enemies","assets/animations/enemies/kaijiazhu.png","game2/resource/assets/movie/kaijiazhu.png","png","2821","673bed56db3b8c63cc179f2a2fa75053be2f33a22b65c78e874c98c5d1722253"
"animations/enemies","assets/animations/enemies/mogudawang.json","game2/resource/assets/movie/mogudawang.json","json","716","1639456c865e98c9d512ee7887c58f7018b133d17c2ccea39c5ab45bb7830b4e"
"animations/enemies","assets/animations/enemies/mogudawang.png","game2/resource/assets/movie/mogudawang.png","png","18934","f39c31d4a8f68a71b2992b893c2bf571eff6e22592d3fa421ed7b231f668b703"
"animations/enemies","assets/animations/enemies/qiangdao.json","game2/resource/assets/movie/qiangdao.json","json","708","71d7eedf3320f531f8dcdbfb2158d55fd6ee61de6fa218cb83591f0dd9537f69"
"animations/enemies","assets/animations/enemies/qiangdao.png","game2/resource/assets/movie/qiangdao.png","png","9549","9989eb5c3113a0a71c112848cb75fb643d7f6f1b7ec85e4d023debcfe7857462"
"animations/enemies","assets/animations/enemies/qishi.json","game2/resource/assets/movie/qishi.json","json","843","ad1808f62fa9c1cc55959db1e6b7d104c7dea1ffba7c80606720ad153c468f81"
"animations/enemies","assets/animations/enemies/qishi.png","game2/resource/assets/movie/qishi.png","png","15674","66ae3b6d5d2e5c2f52e01c98941b08a9bb7e98a36146a8b5ccd3684abbbb09b3"
"animations/enemies","assets/animations/enemies/xiaogui.json","game2/resource/assets/movie/xiaogui.json","json","502","8fdbbfc32e5b00ae097fd400330b42ef020fe24747f3bc11de06b9ae7fee1d9e"
"animations/enemies","assets/animations/enemies/xiaogui.png","game2/resource/assets/movie/xiaogui.png","png","2969","46619051ab30011a365e5d1184088ece83c040354c203e676c293d8b122c3407"
"animations/enemies","assets/animations/enemies/xieguai.json","game2/resource/assets/movie/xieguai.json","json","707","55e3724cd8ba234c9d85400a82eb0f074e82c6b2ff21a7cd780ad1dd70a27154"
"animations/enemies","assets/animations/enemies/xieguai.png","game2/resource/assets/movie/xieguai.png","png","5994","7ba0fae9c827c6519bf5c18e998f75f200d092e43eb00f145c6cd39d45032bb7"
"animations/enemies","assets/animations/enemies/xiyi.json","game2/resource/assets/movie/xiyi.json","json","509","dcc8c173c7c5a7b556735ebe0a62985d322822f6c05d03e3f13df2e56267c740"
"animations/enemies","assets/animations/enemies/xiyi.png","game2/resource/assets/movie/xiyi.png","png","7078","2517462f334f64be350f0aa37e77e9dab5d52c4e21661c25e29bdeb697afa135"
"animations/enemies","assets/animations/enemies/yazi.json","game2/resource/assets/movie/yazi.json","json","907","45a8af68efc8907a2c3fd589e21f5f33e1c117404bd43b4ce951706b9f044768"
"animations/enemies","assets/animations/enemies/yazi.png","game2/resource/assets/movie/yazi.png","png","7975","e97dbf72af16650c0fdbfcc36d17a347238f20383be4e28f425a4cdb9e07436a"
"animations/player","assets/animations/player/playmc3.json","game2/resource/assets/movie/playmc3.json","json","1965","98a979b63cbd735491595dc7f7b82977924a6d601edc8d1e50f546ca097c30d3"
"animations/player","assets/animations/player/playmc3.png","game2/resource/assets/movie/playmc3.png","png","81929","1a698f71f8e754f75ea9d80cc58844964645602c393904968b1693df77d1ef5d"
"audio","assets/audio/1.mp3","game2/resource/assets/audio/1.mp3","mp3","1376392","c19f549e33dfba0b470e21e26fa018b87e161a5ef2caa37c78c1f0bdb17a5c3e"
"audio","assets/audio/2.mp3","game2/resource/assets/audio/2.mp3","mp3","3257","cacb07d6524e3a6a39be01446f2013688dd691d9b9c35a4cbf601ce5544ab44d"
"audio","assets/audio/3.mp3","game2/resource/assets/audio/3.mp3","mp3","13184","e723ad9204d786a37640421e28678cb52bccfb6282688fb3b9b2c47fc9edd73f"
"audio","assets/audio/4.mp3","game2/resource/assets/audio/4.mp3","mp3","2944","6cc978d7d0ee8b9f6a0659c3f97823479e64fd5c9f18c4499a88e62fdeb93b81"
"audio","assets/audio/5.mp3","game2/resource/assets/audio/5.mp3","mp3","5347","ee06d8697168cf6de119334502c1ecd7d825dd1eecb3cd7b134b2e327b146edc"
"audio","assets/audio/6.mp3","game2/resource/assets/audio/6.mp3","mp3","2421","11616384176f890e88ca52149299e75524c6ae4caaa17c7ab7c2a20b703928f3"
"backgrounds","assets/backgrounds/bg1.jpg","game2/resource/assets/bg/bg1.jpg","jpg","64737","53cf2c4521d89a4611687505ed30994bf6c3450dc1e8f87afb9859fc34b69344"
"backgrounds","assets/backgrounds/bg2.jpg","game2/resource/assets/bg/bg2.jpg","jpg","35248","b10fa775e4fe68dfa1dbd7a3e4770a28d7cf94f2fe5444add57897a793ca0dd6"
"backgrounds","assets/backgrounds/bg3.jpg","game2/resource/assets/bg/bg3.jpg","jpg","120777","707753d48cd73ac196b0809185c404cb143db82564bc8c61afc2e7c622071933"
"backgrounds","assets/backgrounds/bgl1.png","game2/resource/assets/bg/bgl1.png","png","24813","b7e57245f92c8229288271ec0e401758cb518a607721d1d143a2a018edc5acfb"
"backgrounds","assets/backgrounds/bgl2.png","game2/resource/assets/bg/bgl2.png","png","24586","5a5352a97317380ad5883c4b791f476829a9b8d7b427891e1b20c1e08fc84a1b"
"ui","assets/ui/game0.json","game2/resource/assets/game0.json","json","1080","a781fc2023cc7f29d3f38c7483d132fc06636a49202932fe86fccddd51f00ae4"
"ui","assets/ui/game0.png","game2/resource/assets/game0.png","png","81409","130a55d8d0382d714ac6ce36d564aea87b7806d2cab6929b2907f8d52a62b798"
"ui","assets/ui/game1.json","game2/resource/assets/game1.json","json","3256","59758a026a452c3870c566352101da5526c7f98d1e1064f3008de15c90f9ae3c"
"ui","assets/ui/game1.png","game2/resource/assets/game1.png","png","98349","2f4dc83c7be6596f637f687e4cb939fb1e3a5899c7a4f5e0adebdb8265d6a84e"
"ui","assets/ui/ImageFontStyle9.fnt","game2/resource/assets/ImageFontStyle9.fnt","fnt","835","5d036857e6d075873ce54edd266065ee3b89160e8b4e34ad71cfeaf5b3d75139"
"ui","assets/ui/ImageFontStyle9.png","game2/resource/assets/ImageFontStyle9.png","png","5824","051a7a147613631de2197f2b2e34ad1d3b7e55c14e5edb932f661823874277d9"
